licenseid,licensenumber
130914,
130918,INVIMA 2018 DM - 0017892
149280,INVIMA 2019DM-0019219
151719,INVIMA 2023 EBC - 0009727 - R1
165624,INVIMA 2021 EBC - 0023458
166158,INVIMA 2021 DM - 0023572
168539,INVIMA 2021 DM - 0024496
172426,
177535,INVIMA 2023 DM - 0027260
178766,INVIMA 2023 DM - 0027654
178788,INVIMA 2023 DM - 0027684
181712,2020DM-0022419
184237,INVIMA 2024 DM - 0029029
185155,
186611,INVIMA 2021DM-0006480-R1
188892,
130821,INVIMA 2022 DM - 0001054 - R2
130881,INVIMA 2015 DM - 0013341
130804,INVIMA 2021 DM - 0008003 - R1
130764,INVIMA 2021 DM - 000273 - R4
130680,CERTIFICACIÓN No. 2010002483
130687,CERTIFICACIÓN No. 2010010148
130691,
130694,CERTIFICACION No. 2010012976
130721,INVIMA 2018 DM - 0002180 - R1
130731,INVIMA 2008 DM - 0002628
130732,INVIMA 2018 DM - 0002676 - R1
130736,INVIMA 2018 DM - 0002832 - R1
130740,INVIMA 2008 DM - 0002938
130741,INVIMA 2008 DM - 0002941
130747,INVIMA 2009 DM - 0003101
130753,INVIMA 2020 DM - 0004120 - R1
130760,INVIMA 2009 DM - 3849 - R1
130765,INVIMA 2020 DM - 000296 - R4
130791,INVIMA 2022 DM - 0007330 - R1
130801,INVIMA 2022 DM - 0007822 - R1
130802,INVIMA 2021 DM - 0007824 - R1
130816,INVIMA 2011 DM - 0008410
130824,INVIMA 2012 DM - 0001845 - R1
130827,INVIMA 2022 DM - 0008479 - R1
130831,INVIMA 2012 DM - 0008722
130839,INVIMA 2022 DM - 001714 - R3
130844,INVIMA 2023 DM - 0002348 - R2
130850,INVIMA 2013 DM - 0010101
130863,INVIMA 2024 DM - 0011616 - R1
130865,INVIMA 2025 DM - 0003062 - R2 
130867,INVIMA 2025 DM - 0003196 - R2
130870,INVIMA 2015 DM - 0003345 - R1
130883,INVIMA 2015 DM - 0013585
130903,INVIMA 2017 DM - 0000979 - R1
130910,INVIMA V - 004042 - R1
150485,INVIMA 2019DM-0019969
166622,INVIMA 2021 DM - 0023742
166667,INVIMA 2021 DM - 0023530
168099,INVIMA 2021 DM - 0024480
169491,INVIMA 2021 DM - 0024796
169492,
171660,INVIMA 2022 DM - 0025297
171703,INVIMA 2022 DM - 0025344
171734,
186610,INVIMA 2020EBC-0005660-R1
130778,INVIMA 2021 DM - 01451 - R3
130718,INVIMA 2019 DM - 0001873 - R1
130905,INVIMA 2017 DM - 0015882
130692,
130789,INVIMA 2021 DM - 0007229 - R1
130898,INVIMA 2016 DM - 0015060
185517,INVIMA 2020EBC-0005660-R1
130815,INVIMA 2021 DM - 0008391 - R1
130853,INVIMA 2024 DM - 0002334 - R2
130858,INVIMA 2025 DM - 000768 - R4
2667,INVIMA 2014 DM-0012032
130677,CERTIFICACION No. 2010011298
130682,CERTIFICACION No. 2010018665
130684,
130688,CERTIFICACIÓN No. 2010010164
130707,INVIMA 2017 DM - 0001056 - R1
130712,INVIMA 2017 DM - 0001401 - R1
130714,INVIMA 2018 DM - 0001585 - R1
130719,INVIMA 2018 DM - 0002013 - R1
130724,INVIMA 2018 DM - 0002202 - R1; INVIMA 2017 DM - 0000919 - R1; INVIMA 2016 RD - 0003869
130735,INVIMA 2008 DM - 0002829
130738,INVIMA 2018 DM - 0002936 - R1
130751,INVIMA 2009 DM - 0003613
130752,INVIMA 2020 DM - 0003908 - R1
130758,INVIMA 2009 DM - 0004906
130759,INVIMA 2020 DM - 0004927 - R1
130773,INVIMA 2021 DM - 0006049 - R1
130779,INVIMA 2010 RD - 0001710
130781,INVIMA 2022 DM - 0000409 - R2
130782,INVIMA 2022 DM - 0000502 - R2
130795,INVIMA 2021 DM - 0007664 - R1
130812,INVIMA 2021 DM - 0008277 - R1
130829,INVIMA 2012 DM - 0008566
130837,INVIMA 2023 DM - 0009402 - R1
130840,INVIMA 2012 RD - 0002295
130849,INVIMA 2023 DM - 0010073 - R1
130857,INVIMA 2025 DM - 0002943 - R2
130861,INVIMA 2024 DM - 0011179 - R1
130864,INVIMA 2025 DM - 0011866 - R1
130874,INVIMA 2015 DM - 0003630 - R1
130884,INVIMA 2015 DM - 0013589
130888,INVIMA 2015 EBC - 0013094
130889,INVIMA 2015 M - 0011333 - R1
130890,INVIMA 2015 RD - 0003359
130901,INVIMA 2017 DM - 0000439 - R1
130909,INVIMA V - 003807 - R1
130912,INVIMA 2017 DM - 0017279
130915,
130917,INVIMA 2018 DM - 0017893
146577,INVIMA 2018 DM - 0018227
148124,INVIMA 2018 DM - 0018581
153123,CERTIFICACIÓN No. 2019024741
168641,INVIMA 2021 DM - 0024651
169392,INVIMA 2021 DM - 0024301
169408,INVIMA 2021 DM - 0024452
171036,INVIMA 2022 DM - 0025152
172490,INVIMA 2018DM-0002061-R1
172977,INVIMA 2022 DM - 0025978
178852,
181711,2016DM-0015092 
186076,INVIMA 2024 DM - 0029672
130893,INVIMA 2016 DM - 0000131 - R1
130703,INVIMA 2018 DM - 0000908 - R3
2669,INVIMA 2008 DM-0002029
130678,CERTIFICACIÓN No. 2012025770
130696,INVIMA 2017 DM - 0000471 - R1
130701,INVIMA 2017 DM - 0000863 - R1
130708,INVIMA 2018 DM - 0001302 - R1
